Six American Poets: An Anthology,Joel Conarroe,71,December 1993
Norton Anthology of Literature by Women: The Traditions in English,Sandra M. Gilbert,72,February 2007
Multicultural Children's Literature: Through the Eyes of Many Children,Donna E. Norton,73,March 2008
The Voice That Is Great within Us: American Poetry of the Twentieth Century,Hayden Carruth,74,September 1983
Poems That Touch the Heart,A.L. Alexander,75,October 1984
I Thought My Father Was God: And Other True Tales from NPR's National Story Project,Paul Auster,76,September 2002
Listening For God Rdr Vol 4,Paula J. Carlson,77,January 2003
The American Tradition in Literature (concise) book alone,George Perkins,78,November 2008
"Approaching Literature: Writing, Reading, Thinking",Peter Schakel,79,December 2007
The Norton Anthology of American Literature: Volume C: 1865-1914,Arnold Krupat,80,April 2007
American Fantastic Tales Boxed Set,Peter Straub,81,October 2009
Unsettling America: An Anthology of Contemporary Multicultural Poetry,Maria Mazziotti Gillan,82,November 1994
"Listening For God Reader, Vol 1",Paula J. Carlson,83,August 1994
Concise Anthology of American Literature,James Leonard,84,January 2010
"The Heath Anthology of American Literature: Contemporary Period (1945 To The Present), Volume E",Paul Lauter,85,March 2009
The Portable Harlem Renaissance Reader,David Lewis,86,June 1995
American Short Stories,Bert Hitchcock,87,October 2007
Great Love Poems,Shane Weller,88,October 1992
"The Harper American Literature, Single Volume Edition",Donald McQuade,89,December 1998
The Latino Reader: An American Literary Tradition from 1542 to the Present,Margarite Fernandez Olmos,90,March 1997
Black Nature,Camille T. Dungy,91,December 2009
Anthology of American Literature Volume II,George McMichael,92,January 2007
Best Remembered Poems,Martin Gardner,93,December 1992
Nine Plays of the Modern Theater: Waiting for Godot; The Visit; Tango; The Caucasian Chalk Circle; The Balcony; Rhinoceros; American Buffalo; The Birthday Party; Rosencrantz and Guildenstern are Dead,Harold Clurman,94,January 1994
"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 2",Sandra M. Gilbert,95,February 2007
Writing New York: A Literary Anthology,Phillip Lopate,96,January 2008
The Best American Essays 2009,Mary Oliver,97,October 2009
The Hudson River Valley Reader,Edward C. Goodman,98,March 2009
The Best American Poetry 2009,David Wagoner,99,September 2009
Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,Robert Shapard,100,March 2010
I Am the Darker Brother: An Anthology of Modern Poems by African Americans,Arnold Adoff,101,January 1997
Classic American Autobiographies,William L. Andrews,102,November 2003
Mental Floss: Scatterbrained,Editors Of Mental Floss,103,July 2006
The Portable Sixties Reader,Ann Charters,104,December 2002
Modern American Memoirs,Annie Dillard,105,October 1996
Best American Spiritual Writing 2007,Philip Zaleski,106,October 2007
The Norton Anthology of American Literature: Volume D: 1914-1945,Jerome Klinkowitz,107,April 2007
Making Literature Matter: An Anthology for Readers and Writers,John Schilb,108,August 2008
"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",Luis Valdez,109,January 1990
In Our Own Words: Student Writers at Work,Rebecca Mlynarczyk,110,April 2005
Touch,Toni Press-Coffman,111,November 2005
"The American Tradition in Literature, Volume 1(book alone)",George Perkins,112,October 2008
The Four Seasons: Poems,J. D. McClatchy,113,June 2008
The American Stage: Writing on Theater from Washington Irving to Tony Kushner,Lawrence Senelick,114,April 2010
Bum Rush the Page: A Def Poetry Jam,Tony Medina,115,October 2001
The Outlaw Bible of American Literature,Alan Kaufmann,116,December 2004
Mother California: A Story of Redemption Behind Bars,Kenneth E. Hartman,117,September 2010
The Best American Short Stories 2003,Walter Mosley,118,October 2003
Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,Paula Gunn Allen,119,May 1990
Transforming a Rape Culture,Emilie Buchwald,120,August 2004
American Food Writing: An Anthology with Classic Recipes,Molly O'Neill,121,January 2009
Baseball: A Literary Anthology,Nicholas Dawidoff,122,February 2002
Loving in the War Years: Lo que nunca paso por sus labios,Cherrie Moraga,123,September 2000
Don't Squat With Your Spurs On: A Cowboy's Guide to Life,Texas Bix Bender,124,October 2009
Listening For God Reader Volume 3,Paula J. Carlson,125,February 2000
Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,David Remnick,126,October 2002
The Top 500 Poems,William Harmon,127,January 1992
True Crime: An American Anthology,Harold Schechter,128,September 2008
"I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer",Ruth Peltason,129,September 2008
African American Literature (Penguin Academics Series),Keith Gilyard,130,January 2004
"Anthology of American Literature, Volume I",George McMichael,131,July 2010
"The Heath Anthology of American Literature: Modern Period (1910?1945), Volume D",Kirk Curnutt,132,February 2009
Poems of New York,Elizabeth Schmidt,133,August 2002
American Dreams,Sapphire,134,June 1996
"Black Theatre USA, V2: Plays by African Americans 1935-Today, Vol. 2",Ted Shine,135,February 1996
The Signet Classic Book of American Short Stories,Burton Raffel,136,November 2004
The American Transcendentalists: Essential Writings,Lawrence Buell,137,January 2006
Finding Freedom: Writings from Death Row,Jarvis Jay Masters,138,September 1997
The Best American Short Stories 2004,Lorrie Moore,139,October 2004
New York Stories: The Best of the City Section of the New York Times,Constance Rosenblum,140,May 2005
Black Voices: An Anthology of African-American Literature,Various,141,April 2001
Bordering Fires: The Vintage Book of Contemporary Mexican and Chicano/a Literature,Cristina Garcia,142,October 2006
The Best American Short Plays 2007-2008,Barbara Parisi,143,August 2009
Postmodern American Fiction: A Norton Anthology,Paula Geyh,144,September 1997
Bronx Accent: A Literary and Pictorial History of the Borough,Lloyd Ultan,145,March 2006
Native American Songs and Poems: An Anthology,Brian Swann,146,September 1996
The Best American Sports Writing 2008,William Nack,147,October 2008
The Lost Algonquin Round Table,Nat Benchley,148,July 2009
Thom Pain (based on nothing),Will Eno,149,November 2005
Death Blossoms: Reflections from a Prisoner of Conscience,Mumia Abu-Jamal,150,July 2003
"B. O. O. B. S.: A Bunch of Outrageous Breast-Cancer Survivors Tell Their Stories of Courage, Hope and Healing",Ann Kempner Fisher,151,January 2006
Becoming Americans: Four Centuries of Immigrant Writing,Ilan Stavans,152,October 2009
Dream Me Home Safely: Writers on Growing Up in America,Susan Richards Shreve,153,October 2003
The Best American Short Stories 2005,Michael Chabon,154,October 2005
The Stuffed Owl: An Anthology of Bad Verse,D.B. Wyndham Lewis,155,March 2003
